Name_lang,Description_lang,Pos[0],Pos[1],ContinentID,AreaName_lang
Tidefury Cove,,-4300.98,-4062.71,1,Wyrmbog
Stonemaul Ruins,,-4346.02,-3321.15,1,The Dragonmurk
Onyxia's Lair,,-4698.06,-3720.58,1,Wyrmbog
Emberstrife's Den,,-4987.73,-3832.99,1,Wyrmbog
Bloodfen Burrow,,-4335.04,-2639.53,1,The Den of Flame
Sentry Point,,-3476.59,-4109.08,1,Witch Hill
Swamplight Manor,,-2949.47,-3893.5,1,Witch Hill
Irondeep Mine,Alliance Controlled,793.751,-330.197,30,
Stonehearth Outpost,,1.66764,-292.675,30,
Iceblood Garrison,,-537.807,-168.363,30,
Coldtooth Mine,Horde Controlled,-946.912,-195.454,30,
Frostwolf Keep,,-1369.01,-225.37,30,
Marshal's Refuge,,-6143.21,-1078.89,1,Lakkari Tar Pits
Fungal Rock,,-6370.15,-1836.52,1,Lakkari Tar Pits
Wavestrider Beach,,-7693.45,-4878.96,1,Lost Rigger Cove
Uldum,,-9635.41,-2787.2,1,Valley of the Watchers
Darkcloud Pinnacle,,-5086.21,-1919.44,1,Darkcloud Pinnacle
Roguefeather Den,,-5466.71,-1636.27,1,The Screeching Canyon
Mirage Raceway,,-6239.42,-3973.12,1,The Shimmering Flats
Sunken Dig Site,,-6490.61,-3449.15,1,The Shimmering Flats
Splithoof Hold,,-5065.61,-2367.61,1,Splithoof Crag
The Weathered Nook,,-5213.85,-2794.53,1,Splithoof Crag
Ironstone Camp,,-5848.05,-3412.38,1,Windbreak Canyon
Weazel's Crater,,-5799.94,-3899.53,1,The Shimmering Flats
Tahonda Ruins,,-6569.91,-3894.97,1,The Shimmering Flats
Roland's Doom,,-11076.0,-1139.98,0,The Rotting Orchard
Beggar's Haunt,,-10349.7,-1538.8,0,Darkshire
Bolgan's Hole,,-2281.95,2499.6,1,Gelkis Village
Maraudon,,-1422.62,2918.45,1,Valley of Spears
Ghost Walker Post,,-1224.06,1736.67,1,Kodo Graveyard
Scrabblescrew's Camp,,-1407.87,1493.13,1,Mannoroc Coven
Valley of Bones,,-2251.19,1513.55,1,Mannoroc Coven
Rage Scar Hold,,-3842.71,1738.94,1,The Twin Colossals
Ruins of Solarsal,,-4852.91,3616.63,1,Ruins of Solarsal
Ravaged Twilight Camp,,-6206.25,1766.95,1,The Crystal Vale
Twilight Post,,-6740.04,1636.32,1,Twilight Post
Twilight Outpost,,-7929.11,1833.28,1,Hive'Zora
Woodpaw Hills,,-4915.81,199.275,1,The Writhing Deep
Lariss Pavillion,,-4052.72,81.5525,1,Gordunni Outpost
Slither Rock,,-7652.52,-3030.61,0,Terror Wing Path
Flame Crest,,-7479.77,-2186.4,0,Ruins of Thaurissan
Shalzaru's Lair,,-5492.37,3622.79,1,Isle of Dread
Stormpike Graveyard,Alliance Controlled,666.927,-305.544,30,
Snowfall Graveyard,Horde Controlled,-202.695,-112.569,30,
Frostwolf Graveyard,Horde Controlled,-1083.31,-307.402,30,
Scalebeard's Cave,,3705.1,-6043.45,1,Bay of Storms
Timbermaw Hold,,6900.63,-2298.18,1,Frostfire Hot Springs
The Ruins of Kel'Theril,,6426.76,-4304.99,1,Lake Kel'Theril
Dun Mandarr,,5718.83,-4507.31,1,Mazthoril
Talrendis Point,,2707.72,-3869.25,1,Shadowsong Shrine
Rethress Sanctum,,2195.67,-6438.33,1,The Ruined Reaches
Moon Horror Den,,7123.02,-4631.57,1,Everlook
Timbermaw Hold,,6817.78,-2097.68,1,Felpaw Village
Irontree Cavern,,6481.87,-1571.0,1,Irontree Woods
Bloodvenom Post,,5111.98,-353.403,1,Bloodvenom Falls
Sishir Canyon,,515.845,624.05,1,Sishir Canyon
Cragpool Lake,,1543.57,70.1338,1,Windshear Crag
Windshear Mine,,981.949,-358.9,1,Windshear Crag
The Talondeep Path,,1531.94,-576.57,1,Windshear Crag
The Talon Den,,2416.89,1792.39,1,Stonetalon Peak
The Ruins of Ordil'Aran,,3493.89,-119.601,1,Maestra's Post
Bathran's Haunt,,3827.37,-161.305,1,Maestra's Post
Zoram'gar Outpost,,3362.22,1010.16,1,The Zoram Strand
Falfarren River,,2231.21,-2222.91,1,Night Run
Xavian,,2936.56,-2822.67,1,Satyrnaar
Forest Song,,2880.33,-3287.54,1,Satyrnaar
Demon Fall Canyon,,1702.45,-3150.99,1,Felfire Hill
Silverwing Outpost,,1776.64,-2065.15,1,Fallen Sky Lake
The Dor'Danil Barrow Den,,1776.23,-2678.36,1,Fallen Sky Lake
Silverwind Refuge,,2130.27,-1190.25,1,Mystral Lake
Greenpaw Village,,2291.29,-1444.96,1,Mystral Lake
Bloodtooth Camp,,1612.52,-1465.1,1,Mystral Lake
The Talondeep Path,,1930.26,-732.677,1,Mystral Lake
Shrine of Remulos,,7856.18,-2215.45,1,Lake Elune'ara
Nighthaven,,7961.75,-2491.77,1,Lake Elune'ara
Stormrage Barrow Dens,,7564.51,-2951.72,1,Lake Elune'ara
Dun Baldar South Bunker,Alliance Controlled,571.535,-80.543,30,
Dun Baldar North Bunker,Alliance Controlled,668.04,-128.176,30,
Icewing Bunker,Alliance Controlled,217.425,-359.764,30,
Iceblood Tower,Horde Controlled,-562.172,-273.554,30,
Tower Point,Horde Controlled,-760.664,-347.326,30,
East Frostwolf Tower,Horde Controlled,-1312.65,-315.886,30,
Warsong Labor Camp,,1575.91,-2463.94,1,Fallen Sky Lake
Ariden's Camp,,-10443.3,-2141.1,0,Deadman's Crossing
Deadwind Ravine,,-10572.0,-1841.05,0,Deadman's Crossing
Sleeping Gorge,,-10740.8,-1973.68,0,Sleeping Gorge
Chillwind Camp,,921.054,-1421.46,0,Sorrow Hill
Dun Baldar,,693.095,-19.197,30,
Stonehearth Bunker,Alliance Controlled,-160.17,-454.107,30,
Stormpike Aid Station,Alliance Controlled,640.261,-18.6661,30,
Iceblood Graveyard,Horde Controlled,-531.316,-405.584,30,
Stonehearth Graveyard,Alliance Controlled,65.9825,-415.573,30,
Frostwolf Relief Hut,Horde Controlled,-1415.05,-305.986,30,
Dun Baldar North Bunker,Destroyed,678.076,-137.378,30,
Dun Baldar North Bunker,In Conflict,678.437,-137.095,30,
Dun Baldar North Bunker,In Conflict,678.371,-137.14,30,
Dun Baldar South Bunker,Destroyed,557.858,-88.1394,30,
Dun Baldar South Bunker,In Conflict,557.849,-88.2827,30,
Dun Baldar South Bunker,In Conflict,557.752,-88.2432,30,
Coldtooth Mine,Alliance Controlled,-948.309,-193.286,30,
Coldtooth Mine,Kobold Controlled,-948.542,-193.079,30,
East Frostwolf Tower,Destroyed,-1311.22,-316.564,30,
East Frostwolf Tower,In Conflict,-1311.4,-317.196,30,
East Frostwolf Tower,In Conflict,-1311.47,-317.241,30,
Frostwolf Graveyard,Alliance Controlled,-1083.54,-307.433,30,
Frostwolf Graveyard,In Conflict,-1083.49,-307.617,30,
Frostwolf Graveyard,In Conflict,-1083.67,-307.436,30,
Frostwolf Relief Hut,Alliance Controlled,-1414.93,-305.602,30,
Frostwolf Relief Hut,In Conflict,-1414.79,-306.018,30,
Frostwolf Relief Hut,In Conflict,-1414.89,-306.056,30,
Iceblood Graveyard,Alliance Controlled,-531.344,-405.273,30,
Iceblood Graveyard,In Conflict,-531.402,-405.326,30,
Iceblood Graveyard,In Conflict,-531.425,-405.326,30,
Iceblood Tower,Destroyed,-560.3,-271.439,30,
Iceblood Tower,In Conflict,-560.261,-271.528,30,
Iceblood Tower,In Conflict,-560.376,-271.281,30,
Icewing Bunker,Destroyed,209.101,-367.837,30,
Icewing Bunker,In Conflict,208.785,-367.938,30,
Icewing Bunker,In Conflict,209.023,-368.034,30,
Irondeep Mine,Horde Controlled,801.661,-330.015,30,
Irondeep Mine,Trogg Controlled,801.41,-330.128,30,
Snowfall Graveyard,Alliance Controlled,-202.963,-112.575,30,
Snowfall Graveyard,In Conflict,-203.153,-112.587,30,
Snowfall Graveyard,In Conflict,-203.09,-112.598,30,
Stonehearth Bunker,Destroyed,-160.264,-454.198,30,
Stonehearth Bunker,In Conflict,-160.169,-454.076,30,
Stonehearth Bunker,In Conflict,-160.403,-454.183,30,
Stonehearth Graveyard,Horde Controlled,65.9149,-415.562,30,
Stonehearth Graveyard,In Conflict,65.8907,-415.551,30,
Stonehearth Graveyard,In Conflict,65.8889,-415.616,30,
Stormpike Aid Station,Horde Controlled,641.501,-17.3997,30,
Stormpike Aid Station,In Conflict,640.908,-18.1867,30,
Stormpike Aid Station,In Conflict,640.699,-18.1078,30,
Stormpike Graveyard,Horde Controlled,666.642,-305.542,30,
Stormpike Graveyard,In Conflict,666.699,-305.533,30,
Stormpike Graveyard,In Conflict,666.571,-305.432,30,
Tower Point,Destroyed,-759.186,-348.19,30,
Tower Point,In Conflict,-759.141,-348.12,30,
Tower Point,In Conflict,-759.266,-348.044,30,
Camp Taurajo,,-2352.66,-1921.67,1,Northern Barrens
Splintertree Post,,2286.41,-2564.67,1,Ashenvale
The Swarming Pillar,,-7066.79,731.852,1,Cenarion Hold
Bones of Grakkarond,,-7234.61,874.224,1,Cenarion Hold
Woodpaw Den,,-4835.2,863.048,1,The Writhing Deep
Revantusk Village,,-573.459,-4590.51,0,The Overlook Cliffs
Thorium Point,,-6513.68,-1142.76,0,Firewatch Ridge
Mor'shan Base Camp,,1035.13,-2113.34,1,The Mor'shan Rampart
Silverwing Grove,,1462.48,-1858.93,1,Fallen Sky Lake
West Frostwolf Tower,Horde Controlled,-1288.9,-256.613,30,
West Frostwolf Tower,Destroyed,-1288.92,-256.629,30,
West Frostwolf Tower,In Conflict,-1288.02,-256.508,30,
West Frostwolf Tower,In Conflict,-1288.09,-256.702,30,
Pre-alliance POI test,,451.372,-127.12,30,
The Weeping Cave,,2249.61,-2389.63,0,The Weeping Cave
Wildpaw Cavern,,-1436.1,-455.651,30,Frostwolf Keep
Icewing Cavern,,276.056,61.1517,30,Dun Baldar
Yojamba Isle,,-11874.6,1250.73,0,Northern Stranglethorn
Stables,Neutral,1181.51,1185.65,529,
Blacksmith,Neutral,988.693,1012.81,529,
Lumber Mill,Neutral,812.715,1182.26,529,
Gold Mine,Neutral,1178.15,822.624,529,
Farm,Neutral,824.015,826.696,529,
Snowfall Graveyard,Uncontrolled,-202.932,-112.716,30,
Misty Reed Post,,-10854.8,-4093.43,0,Misty Reed Strand
Brackenwall Village,,-3132.98,-2880.71,1,Brackenwall Village
Cenarion Hold,,-6886.15,718.398,1,Cenarion Hold
Twilight Base Camp,,-6996.15,1195.01,1,Twilight Base Camp
Staghelm Point,,-6517.49,97.5554,1,Staghelm Point
Twilight's Run,,-6310.14,136.591,1,Staghelm Point
Ortell's Hideout,,-7586.17,226.396,1,Hive'Regal
Bronzebeard Encampment,,-8021.76,1105.84,1,Bronzebeard Encampment
Under Attack,Winterspring,6519.57,-4117.1,1,
Under Attack,Azshara,3366.79,-6226.81,1,
Under Attack,Blasted Lands,-11456.9,-2981.41,0,Blasted Lands
Under Attack,Burning Steppes,-7741.19,-2722.21,0,Burning Steppes
Under Attack,Tanaris Desert,-8277.12,-3484.09,1,
Under Attack,Eastern Plaguelands,2414.5,-3919.26,0,Eastern Plaguelands
Ivar's Patch,,1233.05,1214.28,0,Silverpine Forest
Valgan's Field,,908.754,1255.63,0,Valgan's Field
Silvermoon City,,9504.23,-7297.86,530,Silvermoon City
Falconwing Square,,9443.57,-6889.18,530,Falconwing Square
Sunstrider Isle,,10251.2,-6243.67,530,Sunstrider Isle
The Sunspire,,10339.4,-6393.8,530,
Sunsail Anchorage,,8760.85,-6099.67,530,Sunsail Anchorage
Fairbreeze Village,,8722.06,-6675.4,530,Fairbreeze Village
Farstride Retreat,,8986.2,-7461.7,530,Farstrider Retreat
Deatholme,,6494.17,-6367.48,530,Deatholme
Windrunner Spire,,7018.83,-5731.5,530,Windrunner Spire
Tranquillien,,7567.08,-6818.75,530,Tranquillien
Honor Hold,,-715.967,2670.63,530,Honor Hold
Thrallmar,,138.907,2703.56,530,Thrallmar
The Stair of Destiny,,-250.472,1029.01,530,The Stair of Destiny
Throne of Kil'Jaeden,,815.059,2331.75,530,Throne of Kil'jaeden
Hellfire Citadel,,-315.158,3099.17,530,
Den of Haal'esh,,-1105.52,4200.52,530,Den of Haal'esh
Falcon Watch,,-699.534,4260.89,530,Falcon Watch
Ruins of Sha'naar,,-236.269,4935.25,530,Ruins of Sha'naar
Clan Post,,500.537,3850.62,530,Mag'har Post
Pools of Aggonar,,244.889,3467.86,530,Pools of Aggonar
Sandworm!,A Silithyst beast has surfaced,-6548.72,1150.51,1,Silithus
Sandworm!,A Silithyst beast has surfaced,-7786.01,978.815,1,Silithus
Sandworm!,A Silithyst beast has surfaced,-7463.3,1411.7,1,Silithus
Sandworm!,A Silithyst beast has surfaced,-7377.08,447.046,1,Silithus
Wrathscale Point,,-4959.96,-11815.9,530,Wrathscale Point
Bristlelimb Village,,-4588.5,-11603.5,530,Bristlelimb Village
Pod Cluster,,-4414.18,-11970.8,530,Pod Cluster
Pod Wreckage,,-4464.58,-12661.0,530,Pod Wreckage
Geezle's Camp,,-4583.14,-12879.8,530,Geezle's Camp
Azure Watch,,-4179.47,-12501.5,530,Azure Watch
The Exodar,,-4007.31,-11873.6,530,The Exodar
Valaar's Berth,,-4257.04,-11424.7,530,Valaar's Berth
Silting Shore,,-3390.31,-11887.0,530,Silting Shore
Stillpine Hold,,-3354.12,-12348.4,530,Stillpine Hold
Menagerie Wreckage,,-3300.91,-12730.9,530,Menagerie Wreckage
The Sacred Grove,,-3811.64,-13374.7,530,The Sacred Grove
Wildwind Peak,,-3768.73,-11465.4,530,Wildwind Peak
Emberglade,,-3284.43,-12901.0,530,Emberglade
Odesyus' Landing,,-4694.52,-12411.2,530,Odesyus' Landing
Traitor's Cove,,-5081.78,-11265.1,530,Traitor's Cove
Crash Site,,-4145.27,-13739.4,530,Ammen Vale
Shadow Ridge,,-4537.33,-13338.0,530,Shadow Ridge
Silverline Lake,,-4386.85,-13595.1,530,Silverline Lake
Nestlewood Thicket,,-4397.99,-13805.5,530,Nestlewood Thicket
Ammen Fields,,-4164.96,-13487.2,530,Ammen Fields
Moonwing Den,,-5065.18,-11067.8,530,Moonwing Den
Tide's Hollow,,-4871.51,-11598.0,530,Tides' Hollow
Suncrown Village,,7988.71,-7299.7,530,Suncrown Village
Zeb'Sora,,8014.57,-7793.08,530,Zeb'Sora
Dawnstar Spire,,7828.3,-7844.05,530,Dawnstar Spire
Farstrider Enclave,,7543.67,-7665.41,530,Farstrider Enclave
Zeb'Tela,,7371.75,-7805.6,530,Zeb'Tela
Sanctum of the Sun,,7186.54,-7125.71,530,Sanctum of the Sun
An'telas,,7451.8,-7290.97,530,An'telas
Amani Catacombs,,7638.25,-7310.51,530,Amani Catacombs
Zeb'Nowa,,6909.73,-7378.86,530,Zeb'Nowa
Amani Pass,,6857.14,-7680.32,530,Amani Pass
Andilien Estate,,7034.17,-6823.45,530,Andilien Estate
Howling Ziggurat,,7168.21,-6615.66,530,Howling Ziggurat
Bleeding Ziggurat,,7219.75,-6416.48,530,Bleeding Ziggurat
Underlight Mines,,7208.95,-6247.08,530,Underlight Mines
Windrunner Village,,7260.98,-5936.89,530,Windrunner Village
Sanctum of the Moon,,7536.23,-6408.08,530,Sanctum of the Moon
An'daroth,,7933.11,-6507.79,530,An'daroth
Tor'Watha,,8538.68,-7931.78,530,Tor'Watha
Zeb'Watha,,8445.3,-7596.97,530,Zeb'Watha
East Sanctum,,8742.78,-7105.38,530,East Sanctum
Saltheril's Haven,,8645.7,-6372.79,530,Saltheril's Haven
West Sanctum,,9100.33,-6223.32,530,West Sanctum
North Sanctum,,9297.83,-6659.46,530,North Sanctum
Stillwhisper Pond,,9215.16,-7211.67,530,Stillwhisper Pond
The Vector Coil,,-1944.84,-10678.4,530,The Vector Coil
The Cryo-Core,,-2077.3,-11344.5,530,The Cryo-Core
The Warp Piston,,-1209.9,-11802.8,530,The Warp Piston
Bladewood,,-1753.26,-11622.5,530,Bladewood
Wrathscale Lair,,-2220.94,-12324.7,530,Wrathscale Lair
Ruins of Loreth'Aran,,-1746.56,-12079.8,530,Ruins of Loreth'Aran
Nazzivian,,-2415.29,-11295.7,530,Nazzivian
Axxarien,,-1515.3,-11384.8,530,Axxarien
The Hidden Reef,,-1220.49,-11143.2,530,The Hidden Reef
Amberweb Pass,,-1516.76,-10755.1,530,Amberweb Pass
Ragefeather Ridge,,-1549.41,-11889.5,530,Ragefeather Ridge
Talon Stand,,-1217.23,-12449.1,530,Talon Stand
Bristlelimb Enclave,,-2496.43,-12216.7,530,Bristlelimb Enclave
The Overlook,Neutral,-199.731,3466.6,530,Hellfire Peninsula
The Overlook,Alliance Controlled,-199.628,3466.98,530,Hellfire Peninsula
The Overlook,Horde Controlled,-199.434,3467.1,530,Hellfire Peninsula
Broken Hill,Neutral,-466.044,3467.61,530,Hellfire Peninsula
Broken Hill,Alliance Controlled,-465.609,3467.81,530,Hellfire Peninsula
Broken Hill,Horde Controlled,-465.397,3467.81,530,Hellfire Peninsula
The Stadium,Neutral,-291.268,3702.61,530,Hellfire Peninsula
The Stadium,Alliance Controlled,-290.921,3702.59,530,Hellfire Peninsula
The Stadium,Horde Controlled,-290.818,3702.22,530,Hellfire Peninsula
West Beacon,Alliance Controlled,374.82,7333.08,530,Zangarmarsh
West Beacon,Horde Controlled,374.83,7333.08,530,Zangarmarsh
West Beacon,,374.813,7333.08,530,Zangarmarsh
Twinspire Graveyard,,246.488,7084.32,530,Zangarmarsh
Twinspire Graveyard,Alliance Controlled,246.489,7084.33,530,Zangarmarsh
Twinspire Graveyard,Horde Controlled,246.491,7084.32,530,Zangarmarsh
East Beacon,Alliance Controlled,341.394,6833.16,530,Zangarmarsh
East Beacon,Horde Controlled,341.234,6833.17,530,Zangarmarsh
East Beacon,,341.409,6833.08,530,Zangarmarsh
Alliance Field Scout,,374.129,6229.92,530,Zangarmarsh
Alliance Field Scout,,374.146,6229.91,530,Zangarmarsh
Horde Field Scout,,296.583,7820.33,530,Zangarmarsh
Horde Field Scout,,296.632,7820.35,530,Zangarmarsh
Wyvern Camp,Uncontrolled,-1656.53,7733.27,530,Nagrand
Wyvern Camp,Horde Controlled,-1656.64,7733.22,530,Nagrand
Wyvern Camp,Alliance Controlled,-1656.65,7733.18,530,Nagrand
Wyvern Camp,Uncontrolled,-1512.81,8135.79,530,Nagrand
Wyvern Camp,Alliance Controlled,-1512.88,8135.7,530,Nagrand
Wyvern Camp,Horde Controlled,-1512.85,8135.71,530,Nagrand
Wyvern Camp,Uncontrolled,-1817.36,8038.34,530,Nagrand
Wyvern Camp,Horde Controlled,-1817.4,8038.21,530,Nagrand
Wyvern Camp,Alliance Controlled,-1817.37,8038.18,530,Nagrand
Wyvern Camp,Uncontrolled,-1387.35,7781.24,530,Nagrand
Wyvern Camp,Alliance Controlled,-1387.23,7781.24,530,Nagrand
Wyvern Camp,Horde Controlled,-1387.35,7781.25,530,Nagrand
Halaa,,-1573.7,7942.06,530,Nagrand
Halaa,Horde Controlled,-1573.61,7942.09,530,Nagrand
Halaa,Alliance Controlled,-1573.6,7942.03,530,Nagrand
Halaa,,-1573.6,7942.06,530,Nagrand
Halaa,,-1573.68,7942.0,530,Nagrand
Spirit Tower,,-3082.84,5329.92,530,Terokkar Forest
Spirit Tower,Alliance Controlled,-3082.89,5329.91,530,Terokkar Forest
Spirit Tower,Horde Controlled,-3082.88,5329.91,530,Terokkar Forest
Spirit Tower,,-2944.75,4788.92,530,Terokkar Forest
Spirit Tower,Alliance Controlled,-2944.78,4788.99,530,Terokkar Forest
Spirit Tower,Horde Controlled,-2944.75,4789.01,530,Terokkar Forest
Spirit Tower,,-3170.13,4438.59,530,Terokkar Forest
Spirit Tower,Alliance Controlled,-3170.17,4438.58,530,Terokkar Forest
Spirit Tower,Horde Controlled,-3170.19,4438.55,530,Terokkar Forest
Spirit Tower,,-3601.07,4533.99,530,Terokkar Forest
Spirit Tower,Alliance Controlled,-3600.99,4533.97,530,Terokkar Forest
Spirit Tower,Horde Controlled,-3601.06,4533.97,530,Terokkar Forest
Spirit Tower,,-3807.71,4896.94,530,Terokkar Forest
Spirit Tower,Alliance Controlled,-3807.66,4896.9,530,Terokkar Forest
Spirit Tower,Horde Controlled,-3807.7,4896.87,530,Terokkar Forest
Blood Watch,,-1990.97,-11866.2,530,Blood Watch
Blood Elf Tower,Uncontrolled,2048.9219,1393.5851,566,Eye of the Storm
Blood Elf Tower,Alliance Controlled,2048.6458,1393.8212,566,Eye of the Storm
Blood Elf Tower,Horde Controlled,2048.29,1394.2153,566,Eye of the Storm
Fel Reaver Ruins,Uncontrolled,2026.33,1749.76,566,Eye of the Storm
Fel Reaver Ruins,Alliance Controlled,2026.35,1749.75,566,Eye of the Storm
Fel Reaver Ruins,Horde Controlled,2026.35,1749.75,566,Eye of the Storm
Mage Tower,Uncontrolled,2284.889,1731.1146,566,Eye of the Storm
Mage Tower,Alliance Controlled,2284.7883,1731.3959,566,Eye of the Storm
Mage Tower,Horde Controlled,2284.9548,1731.224,566,Eye of the Storm
Draenei Ruins,Uncontrolled,2302.85,1388.07,566,Eye of the Storm
Draenei Ruins,Alliance Controlled,2302.86,1388.07,566,Eye of the Storm
