Name_lang,Description_lang,Pos[0],Pos[1],ContinentID,MapName_lang,AreaName_lang,Origin
Bluefen,,-2685.32,-3087.58,1,Kalimdor,Brackenwall Village,AreaPOI (Points of Interest table)
Lost Point,,-3925.5,-2862.15,1,Kalimdor,The Quagmire,AreaPOI (Points of Interest table)
Tidefury Cove,,-4300.98,-4062.71,1,Kalimdor,Wyrmbog,AreaPOI (Points of Interest table)
Stonemaul Ruins,,-4346.02,-3321.15,1,Kalimdor,The Dragonmurk,AreaPOI (Points of Interest table)
Onyxia's Lair,,-4698.06,-3720.58,1,Kalimdor,Wyrmbog,AreaPOI (Points of Interest table)
Emberstrife's Den,,-4987.73,-3832.99,1,Kalimdor,Wyrmbog,AreaPOI (Points of Interest table)
Bloodfen Burrow,,-4335.04,-2639.53,1,Kalimdor,The Den of Flame,AreaPOI (Points of Interest table)
Sentry Point,,-3476.59,-4109.08,1,Kalimdor,Witch Hill,AreaPOI (Points of Interest table)
Swamplight Manor,,-2949.47,-3893.5,1,Kalimdor,Witch Hill,AreaPOI (Points of Interest table)
Irondeep Mine,Alliance Controlled,793.751,-330.197,30,Alterac Valley,,AreaPOI (Points of Interest table)
Stonehearth Outpost,,1.66764,-292.675,30,Alterac Valley,,AreaPOI (Points of Interest table)
Iceblood Garrison,,-537.807,-168.363,30,Alterac Valley,,AreaPOI (Points of Interest table)
Coldtooth Mine,Horde Controlled,-946.912,-195.454,30,Alterac Valley,,AreaPOI (Points of Interest table)
Frostwolf Keep,,-1369.01,-225.37,30,Alterac Valley,,AreaPOI (Points of Interest table)
Marshal's Refuge,,-6143.21,-1078.89,1,Kalimdor,Lakkari Tar Pits,AreaPOI (Points of Interest table)
Fungal Rock,,-6370.15,-1836.52,1,Kalimdor,Lakkari Tar Pits,AreaPOI (Points of Interest table)
Wavestrider Beach,,-7693.45,-4878.96,1,Kalimdor,Lost Rigger Cove,AreaPOI (Points of Interest table)
Uldum,,-9635.41,-2787.2,1,Kalimdor,Valley of the Watchers,AreaPOI (Points of Interest table)
Darkcloud Pinnacle,,-5086.21,-1919.44,1,Kalimdor,Darkcloud Pinnacle,AreaPOI (Points of Interest table)
Roguefeather Den,,-5466.71,-1636.27,1,Kalimdor,The Screeching Canyon,AreaPOI (Points of Interest table)
Mirage Raceway,,-6239.42,-3973.12,1,Kalimdor,The Shimmering Flats,AreaPOI (Points of Interest table)
Sunken Dig Site,,-6490.61,-3449.15,1,Kalimdor,The Shimmering Flats,AreaPOI (Points of Interest table)
Splithoof Hold,,-5065.61,-2367.61,1,Kalimdor,Splithoof Crag,AreaPOI (Points of Interest table)
The Weathered Nook,,-5213.85,-2794.53,1,Kalimdor,Splithoof Crag,AreaPOI (Points of Interest table)
Ironstone Camp,,-5848.05,-3412.38,1,Kalimdor,Windbreak Canyon,AreaPOI (Points of Interest table)
Weazel's Crater,,-5799.94,-3899.53,1,Kalimdor,The Shimmering Flats,AreaPOI (Points of Interest table)
Tahonda Ruins,,-6569.91,-3894.97,1,Kalimdor,The Shimmering Flats,AreaPOI (Points of Interest table)
Roland's Doom,,-11076.0,-1139.98,0,Eastern Kingdoms,The Rotting Orchard,AreaPOI (Points of Interest table)
Beggar's Haunt,,-10349.7,-1538.8,0,Eastern Kingdoms,Darkshire,AreaPOI (Points of Interest table)
Bolgan's Hole,,-2281.95,2499.6,1,Kalimdor,Gelkis Village,AreaPOI (Points of Interest table)
Maraudon,,-1422.62,2918.45,1,Kalimdor,Valley of Spears,AreaPOI (Points of Interest table)
Ghost Walker Post,,-1224.06,1736.67,1,Kalimdor,Kodo Graveyard,AreaPOI (Points of Interest table)
Scrabblescrew's Camp,,-1407.87,1493.13,1,Kalimdor,Mannoroc Coven,AreaPOI (Points of Interest table)
Valley of Bones,,-2251.19,1513.55,1,Kalimdor,Mannoroc Coven,AreaPOI (Points of Interest table)
Rage Scar Hold,,-3842.71,1738.94,1,Kalimdor,The Twin Colossals,AreaPOI (Points of Interest table)
Ruins of Solarsal,,-4852.91,3616.63,1,Kalimdor,Ruins of Solarsal,AreaPOI (Points of Interest table)
Ravaged Twilight Camp,,-6206.25,1766.95,1,Kalimdor,The Crystal Vale,AreaPOI (Points of Interest table)
Twilight Post,,-6740.04,1636.32,1,Kalimdor,Twilight Post,AreaPOI (Points of Interest table)
Twilight Outpost,,-7929.11,1833.28,1,Kalimdor,Hive'Zora,AreaPOI (Points of Interest table)
Woodpaw Hills,,-4915.81,199.275,1,Kalimdor,The Writhing Deep,AreaPOI (Points of Interest table)
Lariss Pavillion,,-4052.72,81.5525,1,Kalimdor,Gordunni Outpost,AreaPOI (Points of Interest table)
Slither Rock,,-7652.52,-3030.61,0,Eastern Kingdoms,Terror Wing Path,AreaPOI (Points of Interest table)
Flame Crest,,-7479.77,-2186.4,0,Eastern Kingdoms,Ruins of Thaurissan,AreaPOI (Points of Interest table)
Shalzaru's Lair,,-5492.37,3622.79,1,Kalimdor,Isle of Dread,AreaPOI (Points of Interest table)
Stormpike Graveyard,Alliance Controlled,666.927,-305.544,30,Alterac Valley,,AreaPOI (Points of Interest table)
Snowfall Graveyard,Horde Controlled,-202.695,-112.569,30,Alterac Valley,,AreaPOI (Points of Interest table)
Frostwolf Graveyard,Horde Controlled,-1083.31,-307.402,30,Alterac Valley,,AreaPOI (Points of Interest table)
Scalebeard's Cave,,3705.1,-6043.45,1,Kalimdor,Bay of Storms,AreaPOI (Points of Interest table)
Timbermaw Hold,,6900.63,-2298.18,1,Kalimdor,Frostfire Hot Springs,AreaPOI (Points of Interest table)
The Ruins of Kel'Theril,,6426.76,-4304.99,1,Kalimdor,Lake Kel'Theril,AreaPOI (Points of Interest table)
Dun Mandarr,,5718.83,-4507.31,1,Kalimdor,Mazthoril,AreaPOI (Points of Interest table)
Talrendis Point,,2707.72,-3869.25,1,Kalimdor,Shadowsong Shrine,AreaPOI (Points of Interest table)
Rethress Sanctum,,2195.67,-6438.33,1,Kalimdor,The Ruined Reaches,AreaPOI (Points of Interest table)
Moon Horror Den,,7123.02,-4631.57,1,Kalimdor,Everlook,AreaPOI (Points of Interest table)
Timbermaw Hold,,6817.78,-2097.68,1,Kalimdor,Felpaw Village,AreaPOI (Points of Interest table)
Irontree Cavern,,6481.87,-1571.0,1,Kalimdor,Irontree Woods,AreaPOI (Points of Interest table)
Bloodvenom Post,,5111.98,-353.403,1,Kalimdor,Bloodvenom Falls,AreaPOI (Points of Interest table)
Sishir Canyon,,515.845,624.05,1,Kalimdor,Sishir Canyon,AreaPOI (Points of Interest table)
Cragpool Lake,,1543.57,70.1338,1,Kalimdor,Windshear Crag,AreaPOI (Points of Interest table)
Windshear Mine,,981.949,-358.9,1,Kalimdor,Windshear Crag,AreaPOI (Points of Interest table)
The Talondeep Path,,1531.94,-576.57,1,Kalimdor,Windshear Crag,AreaPOI (Points of Interest table)
The Talon Den,,2416.89,1792.39,1,Kalimdor,Stonetalon Peak,AreaPOI (Points of Interest table)
The Ruins of Ordil'Aran,,3493.89,-119.601,1,Kalimdor,Maestra's Post,AreaPOI (Points of Interest table)
Bathran's Haunt,,3827.37,-161.305,1,Kalimdor,Maestra's Post,AreaPOI (Points of Interest table)
Zoram'gar Outpost,,3362.22,1010.16,1,Kalimdor,The Zoram Strand,AreaPOI (Points of Interest table)
Falfarren River,,2231.21,-2222.91,1,Kalimdor,Night Run,AreaPOI (Points of Interest table)
Xavian,,2936.56,-2822.67,1,Kalimdor,Satyrnaar,AreaPOI (Points of Interest table)
Forest Song,,2880.33,-3287.54,1,Kalimdor,Satyrnaar,AreaPOI (Points of Interest table)
Demon Fall Canyon,,1702.45,-3150.99,1,Kalimdor,Felfire Hill,AreaPOI (Points of Interest table)
Silverwing Outpost,,1776.64,-2065.15,1,Kalimdor,Fallen Sky Lake,AreaPOI (Points of Interest table)
The Dor'Danil Barrow Den,,1776.23,-2678.36,1,Kalimdor,Fallen Sky Lake,AreaPOI (Points of Interest table)
Silverwind Refuge,,2130.27,-1190.25,1,Kalimdor,Mystral Lake,AreaPOI (Points of Interest table)
Greenpaw Village,,2291.29,-1444.96,1,Kalimdor,Mystral Lake,AreaPOI (Points of Interest table)
Bloodtooth Camp,,1612.52,-1465.1,1,Kalimdor,Mystral Lake,AreaPOI (Points of Interest table)
The Talondeep Path,,1930.26,-732.677,1,Kalimdor,Mystral Lake,AreaPOI (Points of Interest table)
Shrine of Remulos,,7856.18,-2215.45,1,Kalimdor,Lake Elune'ara,AreaPOI (Points of Interest table)
Nighthaven,,7961.75,-2491.77,1,Kalimdor,Lake Elune'ara,AreaPOI (Points of Interest table)
Stormrage Barrow Dens,,7564.51,-2951.72,1,Kalimdor,Lake Elune'ara,AreaPOI (Points of Interest table)
Dun Baldar South Bunker,Alliance Controlled,571.535,-80.543,30,Alterac Valley,,AreaPOI (Points of Interest table)
Dun Baldar North Bunker,Alliance Controlled,668.04,-128.176,30,Alterac Valley,,AreaPOI (Points of Interest table)
Icewing Bunker,Alliance Controlled,217.425,-359.764,30,Alterac Valley,,AreaPOI (Points of Interest table)
Iceblood Tower,Horde Controlled,-562.172,-273.554,30,Alterac Valley,,AreaPOI (Points of Interest table)
Tower Point,Horde Controlled,-760.664,-347.326,30,Alterac Valley,,AreaPOI (Points of Interest table)
East Frostwolf Tower,Horde Controlled,-1312.65,-315.886,30,Alterac Valley,,AreaPOI (Points of Interest table)
Warsong Labor Camp,,1575.91,-2463.94,1,Kalimdor,Fallen Sky Lake,AreaPOI (Points of Interest table)
Ariden's Camp,,-10443.3,-2141.1,0,Eastern Kingdoms,Deadman's Crossing,AreaPOI (Points of Interest table)
Deadwind Ravine,,-10572.0,-1841.05,0,Eastern Kingdoms,Deadman's Crossing,AreaPOI (Points of Interest table)
Sleeping Gorge,,-10740.8,-1973.68,0,Eastern Kingdoms,Sleeping Gorge,AreaPOI (Points of Interest table)
Chillwind Camp,,921.054,-1421.46,0,Eastern Kingdoms,Sorrow Hill,AreaPOI (Points of Interest table)
Dun Baldar,,693.095,-19.197,30,Alterac Valley,,AreaPOI (Points of Interest table)
Stonehearth Bunker,Alliance Controlled,-160.17,-454.107,30,Alterac Valley,,AreaPOI (Points of Interest table)
Stormpike Aid Station,Alliance Controlled,640.261,-18.6661,30,Alterac Valley,,AreaPOI (Points of Interest table)
Iceblood Graveyard,Horde Controlled,-531.316,-405.584,30,Alterac Valley,,AreaPOI (Points of Interest table)
Stonehearth Graveyard,Alliance Controlled,65.9825,-415.573,30,Alterac Valley,,AreaPOI (Points of Interest table)
Frostwolf Relief Hut,Horde Controlled,-1415.05,-305.986,30,Alterac Valley,,AreaPOI (Points of Interest table)
Dun Baldar North Bunker,Destroyed,678.076,-137.378,30,Alterac Valley,,AreaPOI (Points of Interest table)
Dun Baldar North Bunker,In Conflict,678.437,-137.095,30,Alterac Valley,,AreaPOI (Points of Interest table)
Dun Baldar North Bunker,In Conflict,678.371,-137.14,30,Alterac Valley,,AreaPOI (Points of Interest table)
Dun Baldar South Bunker,Destroyed,557.858,-88.1394,30,Alterac Valley,,AreaPOI (Points of Interest table)
Dun Baldar South Bunker,In Conflict,557.849,-88.2827,30,Alterac Valley,,AreaPOI (Points of Interest table)
Dun Baldar South Bunker,In Conflict,557.752,-88.2432,30,Alterac Valley,,AreaPOI (Points of Interest table)
Coldtooth Mine,Alliance Controlled,-948.309,-193.286,30,Alterac Valley,,AreaPOI (Points of Interest table)
Coldtooth Mine,Kobold Controlled,-948.542,-193.079,30,Alterac Valley,,AreaPOI (Points of Interest table)
East Frostwolf Tower,Destroyed,-1311.22,-316.564,30,Alterac Valley,,AreaPOI (Points of Interest table)
East Frostwolf Tower,In Conflict,-1311.4,-317.196,30,Alterac Valley,,AreaPOI (Points of Interest table)
East Frostwolf Tower,In Conflict,-1311.47,-317.241,30,Alterac Valley,,AreaPOI (Points of Interest table)
Frostwolf Graveyard,Alliance Controlled,-1083.54,-307.433,30,Alterac Valley,,AreaPOI (Points of Interest table)
Frostwolf Graveyard,In Conflict,-1083.49,-307.617,30,Alterac Valley,,AreaPOI (Points of Interest table)
Frostwolf Graveyard,In Conflict,-1083.67,-307.436,30,Alterac Valley,,AreaPOI (Points of Interest table)
Frostwolf Relief Hut,Alliance Controlled,-1414.93,-305.602,30,Alterac Valley,,AreaPOI (Points of Interest table)
Frostwolf Relief Hut,In Conflict,-1414.79,-306.018,30,Alterac Valley,,AreaPOI (Points of Interest table)
Frostwolf Relief Hut,In Conflict,-1414.89,-306.056,30,Alterac Valley,,AreaPOI (Points of Interest table)
Iceblood Graveyard,Alliance Controlled,-531.344,-405.273,30,Alterac Valley,,AreaPOI (Points of Interest table)
Iceblood Graveyard,In Conflict,-531.402,-405.326,30,Alterac Valley,,AreaPOI (Points of Interest table)
Iceblood Graveyard,In Conflict,-531.425,-405.326,30,Alterac Valley,,AreaPOI (Points of Interest table)
Iceblood Tower,Destroyed,-560.3,-271.439,30,Alterac Valley,,AreaPOI (Points of Interest table)
Iceblood Tower,In Conflict,-560.261,-271.528,30,Alterac Valley,,AreaPOI (Points of Interest table)
Iceblood Tower,In Conflict,-560.376,-271.281,30,Alterac Valley,,AreaPOI (Points of Interest table)
Icewing Bunker,Destroyed,209.101,-367.837,30,Alterac Valley,,AreaPOI (Points of Interest table)
Icewing Bunker,In Conflict,208.785,-367.938,30,Alterac Valley,,AreaPOI (Points of Interest table)
Icewing Bunker,In Conflict,209.023,-368.034,30,Alterac Valley,,AreaPOI (Points of Interest table)
Irondeep Mine,Horde Controlled,801.661,-330.015,30,Alterac Valley,,AreaPOI (Points of Interest table)
Irondeep Mine,Trogg Controlled,801.41,-330.128,30,Alterac Valley,,AreaPOI (Points of Interest table)
Snowfall Graveyard,Alliance Controlled,-202.963,-112.575,30,Alterac Valley,,AreaPOI (Points of Interest table)
Snowfall Graveyard,In Conflict,-203.153,-112.587,30,Alterac Valley,,AreaPOI (Points of Interest table)
Snowfall Graveyard,In Conflict,-203.09,-112.598,30,Alterac Valley,,AreaPOI (Points of Interest table)
Stonehearth Bunker,Destroyed,-160.264,-454.198,30,Alterac Valley,,AreaPOI (Points of Interest table)
Stonehearth Bunker,In Conflict,-160.169,-454.076,30,Alterac Valley,,AreaPOI (Points of Interest table)
Stonehearth Bunker,In Conflict,-160.403,-454.183,30,Alterac Valley,,AreaPOI (Points of Interest table)
Stonehearth Graveyard,Horde Controlled,65.9149,-415.562,30,Alterac Valley,,AreaPOI (Points of Interest table)
Stonehearth Graveyard,In Conflict,65.8907,-415.551,30,Alterac Valley,,AreaPOI (Points of Interest table)
Stonehearth Graveyard,In Conflict,65.8889,-415.616,30,Alterac Valley,,AreaPOI (Points of Interest table)
Stormpike Aid Station,Horde Controlled,641.501,-17.3997,30,Alterac Valley,,AreaPOI (Points of Interest table)
Stormpike Aid Station,In Conflict,640.908,-18.1867,30,Alterac Valley,,AreaPOI (Points of Interest table)
Stormpike Aid Station,In Conflict,640.699,-18.1078,30,Alterac Valley,,AreaPOI (Points of Interest table)
Stormpike Graveyard,Horde Controlled,666.642,-305.542,30,Alterac Valley,,AreaPOI (Points of Interest table)
Stormpike Graveyard,In Conflict,666.699,-305.533,30,Alterac Valley,,AreaPOI (Points of Interest table)
Stormpike Graveyard,In Conflict,666.571,-305.432,30,Alterac Valley,,AreaPOI (Points of Interest table)
Tower Point,Destroyed,-759.186,-348.19,30,Alterac Valley,,AreaPOI (Points of Interest table)
Tower Point,In Conflict,-759.141,-348.12,30,Alterac Valley,,AreaPOI (Points of Interest table)
Tower Point,In Conflict,-759.266,-348.044,30,Alterac Valley,,AreaPOI (Points of Interest table)
Camp Taurajo,,-2352.66,-1921.67,1,Kalimdor,Northern Barrens,AreaPOI (Points of Interest table)
Splintertree Post,,2286.41,-2564.67,1,Kalimdor,Ashenvale,AreaPOI (Points of Interest table)
The Swarming Pillar,,-7066.79,731.852,1,Kalimdor,Cenarion Hold,AreaPOI (Points of Interest table)
Bones of Grakkarond,,-7234.61,874.224,1,Kalimdor,Cenarion Hold,AreaPOI (Points of Interest table)
